Response ID,Status,Department,Director,Manager,Supervisor,Staff,Question,Response,Response Text
47,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
48,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
49,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree
50,Complete,Human Services,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree
51,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
52,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
53,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,3,Agree
54,Complete,Facilities Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
55,Complete,Emergency Management,0,1,0,0,1. I know what is expected of me at work,4,Strongly Agree
56,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
57,Complete,Assessor-Treasurer's Office,0,0,0,0,1. I know what is expected of me at work,3,Agree
58,Complete,Sheriff's Department,0,0,0,1,1. I know what is expected of me at work,1,Strongly Disagree
59,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree
60,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree
61,Complete,Sheriff's Department,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree
62,Complete,Assigned Council,0,0,0,0,1. I know what is expected of me at work,3,Agree
63,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
64,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree
65,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree
66,Complete,District Court,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree
67,Complete,Emergency Management,0,0,0,0,1. I know what is expected of me at work,3,Agree
68,Complete,Emergency Management,0,0,0,0,1. I know what is expected of me at work,3,Agree
69,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,3,Agree
70,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,1,Strongly Disagree
71,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,3,Agree
72,Complete,Parks and Recreation,0,0,1,0,1. I know what is expected of me at work,3,Agree
73,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
74,Complete,Prosecuting Attorney's Office,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree
75,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,3,Agree
76,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,4,Strongly Agree
77,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
78,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
79,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,2,Disagree
80,Complete,Council's Office,0,1,0,0,1. I know what is expected of me at work,4,Strongly Agree
81,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,3,Agree
82,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
83,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,2,Disagree
84,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,3,Agree
85,Complete,Council's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
86,Complete,Human Services,0,0,0,1,1. I know what is expected of me at work,3,Agree
87,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
88,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,3,Agree
89,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,3,Agree
90,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
91,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree
92,Complete,Finance and Performance Management,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree
93,Complete,Finance and Performance Management,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree
94,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,3,Agree
95,Complete,Human Services,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree
96,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree
97,Complete,Assigned Council,0,0,0,0,1. I know what is expected of me at work,3,Agree
98,Complete,Assessor-Treasurer's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
99,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
100,Complete,Council's Office,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree
101,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,3,Agree
102,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree
103,Complete,Finance and Performance Management,0,0,0,1,1. I know what is expected of me at work,2,Disagree
104,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
105,Complete,Clerk of Superior Court,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
106,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
107,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree
108,Complete,Parks and Recreation,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
109,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
110,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree
111,Complete,Emergency Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
112,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,4,Strongly Agree
113,Complete,Council's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
114,Complete,Human Resources,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
115,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,3,Agree
116,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
117,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
118,Complete,Juvenile Court,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
119,Complete,Sheriff's Department,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree
120,Complete,Clerk of Superior Court,0,1,0,0,1. I know what is expected of me at work,3,Agree
121,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,3,Agree
122,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree
123,Complete,Emergency Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
124,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree
125,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,3,Agree
126,Complete,Emergency Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
127,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,3,Agree
128,Complete,Assigned Council,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
129,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
130,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
131,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
132,Complete,Assigned Council,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
133,Complete,Superior Court,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree
134,Incomplete,Facilities Management,0,0,0,0,1. I know what is expected of me at work,,
135,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
136,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree
137,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree
138,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree
139,Complete,Superior Court,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
140,Complete,Sheriff's Department,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree
141,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,3,Agree
142,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
143,Complete,Parks and Recreation,0,0,1,0,1. I know what is expected of me at work,3,Agree
144,Complete,Superior Court,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree
145,Complete,Juvenile Court,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
146,Complete,Juvenile Court,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
147,Complete,Sheriff's Department,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree
148,Complete,Assigned Council,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
149,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree
150,Complete,Communications Office,0,1,0,0,1. I know what is expected of me at work,4,Strongly Agree
151,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
152,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
153,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree
154,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
155,Complete,Clerk of Superior Court,0,1,0,0,1. I know what is expected of me at work,4,Strongly Agree
156,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree
157,Complete,Human Resources,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
158,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,3,Agree
159,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,3,Agree
160,Complete,Prosecuting Attorney's Office,0,1,0,0,1. I know what is expected of me at work,4,Strongly Agree
161,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
162,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree
163,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
164,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,3,Agree
165,Complete,Human Resources,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
166,Complete,Prosecuting Attorney's Office,0,0,1,0,1. I know what is expected of me at work,3,Agree
167,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
168,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
169,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,3,Agree
170,Complete,Prosecuting Attorney's Office,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree
171,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
172,Complete,Superior Court,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
173,Complete,District Court,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
174,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
175,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,3,Agree
176,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
177,Complete,Assigned Council,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
178,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
179,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,4,Strongly Agree
180,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree
181,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,4,Strongly Agree
182,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
183,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
184,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,3,Agree
185,Complete,Exec Office & Directors,1,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
186,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
187,Complete,Superior Court,0,0,0,0,1. I know what is expected of me at work,3,Agree
188,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
189,Complete,Prosecuting Attorney's Office,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree
190,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
191,Complete,District Court,0,0,1,0,1. I know what is expected of me at work,3,Agree
192,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
193,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,3,Agree
194,Complete,Finance and Performance Management,0,0,0,1,1. I know what is expected of me at work,3,Agree
195,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
196,Complete,Assessor-Treasurer's Office,0,0,0,1,1. I know what is expected of me at work,2,Disagree
197,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
198,Complete,Council's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
199,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
200,Complete,Superior Court,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
201,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
202,Complete,Parks and Recreation,0,0,1,0,1. I know what is expected of me at work,3,Agree
203,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
204,Complete,Sheriff's Department,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree
205,Complete,Parks and Recreation,0,0,1,0,1. I know what is expected of me at work,3,Agree
206,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,2,Disagree
207,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
208,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
209,Complete,Council's Office,0,1,0,0,1. I know what is expected of me at work,4,Strongly Agree
210,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree
211,Complete,Assigned Council,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
212,Complete,Assigned Council,0,0,0,1,1. I know what is expected of me at work,3,Agree
213,Complete,Juvenile Court,0,0,0,0,1. I know what is expected of me at work,3,Agree
214,Complete,Exec Office & Directors,1,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
215,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
216,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,3,Agree
217,Complete,Sheriff's Department,0,0,1,0,1. I know what is expected of me at work,2,Disagree
218,Complete,Human Services,0,0,0,1,1. I know what is expected of me at work,3,Agree
219,Complete,Prosecuting Attorney's Office,0,0,1,0,1. I know what is expected of me at work,3,Agree
220,Complete,Assigned Council,0,0,0,0,1. I know what is expected of me at work,2,Disagree
221,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
222,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,3,Agree
223,Complete,Assessor-Treasurer's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
224,Complete,Assigned Council,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
225,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree
226,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,3,Agree
227,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
228,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,3,Agree
229,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,3,Agree
230,Complete,Parks and Recreation,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
231,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,3,Agree
232,Complete,Assessor-Treasurer's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
233,Complete,Facilities Management,0,0,0,0,1. I know what is expected of me at work,3,Agree
234,Complete,Superior Court,0,0,0,0,1. I know what is expected of me at work,3,Agree
235,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree
236,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,3,Agree
237,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
238,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
239,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,3,Agree
240,Complete,Clerk of Superior Court,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
241,Complete,Parks and Recreation,0,0,0,0,1. I know what is expected of me at work,2,Disagree
242,Complete,Parks and Recreation,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree
243,Complete,Communications Office,0,0,0,0,1. I know what is expected of me at work,3,Agree
244,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
245,Complete,Juvenile Court,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
246,Complete,Human Resources,0,1,0,0,1. I know what is expected of me at work,4,Strongly Agree
247,Complete,Juvenile Court,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
248,Complete,Assessor-Treasurer's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
249,Complete,Finance and Performance Management,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree
250,Complete,Prosecuting Attorney's Office,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree
251,Complete,Human Services,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree
252,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,4,Strongly Agree
253,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,3,Agree
254,Complete,Juvenile Court,0,0,1,0,1. I know what is expected of me at work,3,Agree
255,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,3,Agree
256,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
257,Complete,Assessor-Treasurer's Office,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree
258,Complete,Finance and Performance Management,0,0,0,1,1. I know what is expected of me at work,3,Agree
259,Complete,Council's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
260,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,3,Agree
261,Complete,Facilities Management,0,0,0,1,1. I know what is expected of me at work,3,Agree
262,Complete,Clerk of Superior Court,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree
263,Complete,Assessor-Treasurer's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
264,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
265,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
266,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,3,Agree
267,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree
268,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,3,Agree
269,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
270,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,3,Agree
271,Complete,Human Services,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree
272,Complete,Human Services,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree
273,Complete,Human Resources,0,0,0,0,1. I know what is expected of me at work,3,Agree
274,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree
275,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
276,Complete,Sheriff's Department,0,1,0,0,1. I know what is expected of me at work,4,Strongly Agree
277,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree
278,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
279,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,3,Agree
280,Complete,Parks and Recreation,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
281,Complete,Parks and Recreation,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
282,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,3,Agree
283,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree
284,Complete,Facilities Management,0,0,0,0,1. I know what is expected of me at work,3,Agree
285,Complete,Facilities Management,0,0,0,0,1. I know what is expected of me at work,3,Agree
286,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
287,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree
288,Complete,Juvenile Court,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
289,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
290,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree
291,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree
292,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,3,Agree
293,Complete,Superior Court,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
294,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree
295,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree
296,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree
297,Complete,Exec Office & Directors,1,0,0,0,1. I know what is expected of me at work,0,Not Applicable
298,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,2,Disagree
299,Complete,Finance and Performance Management,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree
300,Complete,Emergency Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
301,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree
302,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
303,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,2,Disagree
304,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
305,Complete,Finance and Performance Management,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree
306,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
307,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
308,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
309,Complete,Juvenile Court,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
310,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
311,Complete,Juvenile Court,0,0,0,0,1. I know what is expected of me at work,0,Not Applicable
312,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
313,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree
