Response_ID,Status,Department,Director,Manager,Supervisor,Staff,Question,Response,Response_Text,Qno,Question_alt
82,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
83,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,2,Disagree,1,I know what is expected of me at work
84,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
85,Complete,Council's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
86,Complete,Human Services,0,0,0,1,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
87,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
88,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
89,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
90,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
91,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
92,Complete,Finance and Performance Management,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
93,Complete,Finance and Performance Management,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
94,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
95,Complete,Human Services,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
96,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
97,Complete,Assigned Council,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
98,Complete,Assessor-Treasurer's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
99,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
100,Complete,Council's Office,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
101,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
102,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
103,Complete,Finance and Performance Management,0,0,0,1,1. I know what is expected of me at work,2,Disagree,1,I know what is expected of me at work
104,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
105,Complete,Clerk of Superior Court,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
106,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
107,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
108,Complete,Parks and Recreation,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
109,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
110,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
111,Complete,Emergency Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
112,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
113,Complete,Council's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
114,Complete,Human Resources,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
115,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
116,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
117,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
118,Complete,Juvenile Court,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
119,Complete,Sheriff's Department,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
120,Complete,Clerk of Superior Court,0,1,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
121,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
122,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
123,Complete,Emergency Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
124,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
125,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
126,Complete,Emergency Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
127,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
128,Complete,Assigned Council,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
129,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
130,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
131,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
132,Complete,Assigned Council,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
133,Complete,Superior Court,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
134,Incomplete,Facilities Management,0,0,0,0,1. I know what is expected of me at work,NULL,NULL,1,I know what is expected of me at work
135,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
136,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
137,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
138,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
139,Complete,Superior Court,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
140,Complete,Sheriff's Department,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
141,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
142,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
143,Complete,Parks and Recreation,0,0,1,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
144,Complete,Superior Court,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
145,Complete,Juvenile Court,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
146,Complete,Juvenile Court,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
147,Complete,Sheriff's Department,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
148,Complete,Assigned Council,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
149,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
150,Complete,Communications Office,0,1,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
151,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
152,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
153,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
154,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
155,Complete,Clerk of Superior Court,0,1,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
156,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
157,Complete,Human Resources,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
158,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
159,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
160,Complete,Prosecuting Attorney's Office,0,1,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
161,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
162,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
163,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
164,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
165,Complete,Human Resources,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
166,Complete,Prosecuting Attorney's Office,0,0,1,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
167,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
168,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
169,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
170,Complete,Prosecuting Attorney's Office,0,0,0,1,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
171,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
172,Complete,Superior Court,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
173,Complete,District Court,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
174,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
175,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
176,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
177,Complete,Assigned Council,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
178,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
179,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
180,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
181,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
182,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
183,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
184,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
185,Complete,Exec Office & Directors,1,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
186,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
187,Complete,Superior Court,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
188,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
189,Complete,Prosecuting Attorney's Office,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
190,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
191,Complete,District Court,0,0,1,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
192,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
193,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
194,Complete,Finance and Performance Management,0,0,0,1,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
195,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
196,Complete,Assessor-Treasurer's Office,0,0,0,1,1. I know what is expected of me at work,2,Disagree,1,I know what is expected of me at work
197,Complete,Sheriff's Department,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
198,Complete,Council's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
199,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
200,Complete,Superior Court,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
201,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
202,Complete,Parks and Recreation,0,0,1,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
203,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
204,Complete,Sheriff's Department,0,0,1,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
205,Complete,Parks and Recreation,0,0,1,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
206,Complete,Planning and Public Works,0,1,0,0,1. I know what is expected of me at work,2,Disagree,1,I know what is expected of me at work
207,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
208,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
209,Complete,Council's Office,0,1,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
210,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
211,Complete,Assigned Council,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
212,Complete,Assigned Council,0,0,0,1,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
213,Complete,Juvenile Court,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
214,Complete,Exec Office & Directors,1,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
215,Complete,Finance and Performance Management,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
216,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
217,Complete,Sheriff's Department,0,0,1,0,1. I know what is expected of me at work,2,Disagree,1,I know what is expected of me at work
218,Complete,Human Services,0,0,0,1,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
219,Complete,Prosecuting Attorney's Office,0,0,1,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
220,Complete,Assigned Council,0,0,0,0,1. I know what is expected of me at work,2,Disagree,1,I know what is expected of me at work
221,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
222,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
223,Complete,Assessor-Treasurer's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
224,Complete,Assigned Council,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
225,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
226,Complete,Planning and Public Works,0,0,0,1,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
227,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
228,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
229,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
230,Complete,Parks and Recreation,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
231,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
232,Complete,Assessor-Treasurer's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
233,Complete,Facilities Management,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
234,Complete,Superior Court,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
235,Complete,Planning and Public Works,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
236,Complete,Human Services,0,0,0,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
237,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
238,Complete,Prosecuting Attorney's Office,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
239,Complete,Planning and Public Works,0,0,1,0,1. I know what is expected of me at work,3,Agree,1,I know what is expected of me at work
240,Complete,Clerk of Superior Court,0,0,0,0,1. I know what is expected of me at work,4,Strongly Agree,1,I know what is expected of me at work
241,Complete,Parks and Recreation,0,0,0,0,1. I know what is expected of me at work,2,Disagree,1,I know what is expected of me at work
