year_month,community,zone,is_freehold,secondary_price_per_sqft_usd,secondary_price_per_m2_usd,offplan_price_per_sqft_usd,rental_price_per_sqft_annual_usd,n_listings_secondary,n_listings_offplan,n_listings_rental,cbuae_base_rate_pct,avg_mortgage_rate_pct
2020-01,Emirates Hills,Emirates Hills,True,751,8080,803.0,49,113,66,27,1.5,3.0
2020-02,Emirates Hills,Emirates Hills,True,708,7620,778.0,46,37,48,43,1.5,3.0
2020-03,Emirates Hills,Emirates Hills,True,755,8131,827.0,49,72,38,102,1.5,3.0
2020-04,Emirates Hills,Emirates Hills,True,710,7642,764.0,46,104,16,92,0.4,1.9
2020-05,Emirates Hills,Emirates Hills,True,740,7964,792.0,48,112,18,88,0.4,1.9
2020-06,Emirates Hills,Emirates Hills,True,715,7692,823.0,46,122,79,104,0.4,1.9
2020-07,Emirates Hills,Emirates Hills,True,712,7659,791.0,46,85,79,106,0.4,1.9
2020-08,Emirates Hills,Emirates Hills,True,691,7437,745.0,45,75,44,46,0.4,1.9
2020-09,Emirates Hills,Emirates Hills,True,690,7429,770.0,45,62,21,46,0.4,1.9
2020-10,Emirates Hills,Emirates Hills,True,691,7442,741.0,45,167,63,12,0.4,1.9
2020-11,Emirates Hills,Emirates Hills,True,720,7755,822.0,47,116,68,42,0.4,1.9
2020-12,Emirates Hills,Emirates Hills,True,714,7688,816.0,46,122,79,94,0.4,1.9
2021-01,Emirates Hills,Emirates Hills,True,716,7703,795.0,47,151,53,21,0.4,1.9
2021-02,Emirates Hills,Emirates Hills,True,734,7898,819.0,48,63,67,31,0.4,1.9
2021-03,Emirates Hills,Emirates Hills,True,741,7977,827.0,48,93,57,55,0.4,1.9
2021-04,Emirates Hills,Emirates Hills,True,768,8268,842.0,50,55,47,48,0.4,1.9
2021-05,Emirates Hills,Emirates Hills,True,799,8596,876.0,52,126,68,53,0.4,1.9
2021-06,Emirates Hills,Emirates Hills,True,811,8727,885.0,53,46,58,29,0.4,1.9
2021-07,Emirates Hills,Emirates Hills,True,808,8692,908.0,52,78,43,103,0.4,1.9
2021-08,Emirates Hills,Emirates Hills,True,816,8788,924.0,53,114,45,11,0.4,1.9
2021-09,Emirates Hills,Emirates Hills,True,830,8933,933.0,54,128,18,105,0.4,1.9
2021-10,Emirates Hills,Emirates Hills,True,814,8762,944.0,53,64,63,100,0.4,1.9
2021-11,Emirates Hills,Emirates Hills,True,879,9459,989.0,57,84,33,73,0.4,1.9
2021-12,Emirates Hills,Emirates Hills,True,887,9544,970.0,58,166,51,40,0.4,1.9
2022-01,Emirates Hills,Emirates Hills,True,887,9546,949.0,58,176,34,88,0.4,1.9
2022-02,Emirates Hills,Emirates Hills,True,966,10397,1045.0,63,104,61,100,0.4,1.9
2022-03,Emirates Hills,Emirates Hills,True,969,10435,1024.0,63,106,39,72,0.4,1.9
2022-04,Emirates Hills,Emirates Hills,True,988,10639,1107.0,64,63,26,67,1.4,2.9
2022-05,Emirates Hills,Emirates Hills,True,1030,11082,1108.0,67,122,54,110,1.4,2.9
2022-06,Emirates Hills,Emirates Hills,True,1012,10893,1080.0,66,146,6,84,1.4,2.9
2022-07,Emirates Hills,Emirates Hills,True,1038,11173,1145.0,67,24,75,88,1.4,2.9
2022-08,Emirates Hills,Emirates Hills,True,1000,10764,1090.0,65,141,34,106,1.4,2.9
2022-09,Emirates Hills,Emirates Hills,True,1016,10938,1107.0,66,138,51,27,1.4,2.9
2022-10,Emirates Hills,Emirates Hills,True,1056,11370,1152.0,69,59,12,119,4.4,5.9
2022-11,Emirates Hills,Emirates Hills,True,1075,11568,1176.0,70,172,24,77,4.4,5.9
2022-12,Emirates Hills,Emirates Hills,True,1153,12415,1233.0,75,20,44,76,4.4,5.9
2023-01,Emirates Hills,Emirates Hills,True,1126,12119,1266.0,73,77,29,61,4.4,5.9
2023-02,Emirates Hills,Emirates Hills,True,1226,13198,1288.0,80,111,5,62,4.4,5.9
2023-03,Emirates Hills,Emirates Hills,True,1196,12877,1324.0,78,32,14,68,4.4,5.9
