id,date_listed,project_id,project_name,developer,developer_tier,community,zone,lat,lon,property_category,property_type,bedrooms,area_sqft,area_m2,view,launch_year,handover_year,total_project_units,payment_plan,metro_station,metro_line,metro_distance_min,to_burj_khalifa_km,price_usd,price_per_sqft_usd,price_per_m2_usd,mortgage_rate_at_listing
O000025,21-07-2023,OP0007,Six Senses,Ellington,tier2,Dubai Marina,Dubai Marina,25.0801,55.1365,apartment,1BR,1,757,70.3,community,2022,2026,800,60/40,Al Furjan,Red,69,19.03,597000,789,8492,6.9
O000026,22-08-2025,OP0086,Vida Residences,Aldar,tier1,Jumeirah 3,Jumeirah,25.19732,55.24134,apartment,2BR,2,1488,138.3,city,2024,2025,1500,70/30,Emirates Towers,Red,61,3.33,1500500,1008,10853,5.5
O000027,15-07-2023,OP0101,Vela Residences,Omniyat,tier1,Discovery Gardens,Discovery Gardens,25.04015,55.15577,apartment,3BR,3,1589,147.6,city,2023,2028,800,60/40,Discovery Gardens,Red,19,21.16,536300,338,3633,6.9
O000028,29-10-2022,OP0076,Como Residences,Emaar,tier1,Umm Suqeim,Jumeirah,25.15958,55.20256,villa,4BR_villa,4,4025,373.9,park,2023,2026,200,10/90_post_handover,Emirates Towers,Red,124,8.35,3907700,971,10451,5.9
O000029,22-12-2022,OP0029,Lagoon,DAMAC,tier1,Dubai Investment Park,DIP,24.99719,55.19027,apartment,studio,0,372,34.6,city,2023,2026,1500,70/30,Jebel Ali,Red,72,23.8,122800,330,3549,5.9
O000030,14-03-2024,OP0098,Crest Grande,Meraas,tier1,Dubai Studio City,Dubai Studio City,25.03842,55.22779,apartment,2BR,2,1021,94.9,park,2022,2026,800,70/30,Al Qusais,Green,375,18.27,369400,362,3894,6.9
O000031,05-11-2023,OP0146,Hartland Greens,Omniyat,tier1,Emirates Hills,Emirates Hills,25.0456,55.17311,villa,4BR_villa,4,4270,396.7,park,2024,2026,400,60/40,Jumeirah Golf Estates,Red,32,19.7,6976600,1634,17586,6.9
O000032,03-07-2025,OP0044,Volta,Sobha,tier1,Arabian Ranches 2,Arabian Ranches,25.04518,55.2574,villa,3BR_villa,3,2714,252.2,pool,2024,2026,1500,10/90_post_handover,Business Bay,Red,191,16.99,2346400,864,9305,5.5
O000033,13-06-2022,OP0037,Vela Residences,Aldar,tier1,Umm Suqeim,Jumeirah,25.15588,55.20954,villa,3BR_villa,3,2963,275.3,community,2023,2025,200,10/90_post_handover,First Abu Dhabi Bank,Red,39,7.98,2536200,856,9213,2.9
O000034,04-04-2025,OP0118,One at Palm,DAMAC,tier1,Motor City,Motor City,25.0506,55.23157,apartment,3BR,3,2151,199.9,burj_khalifa,2025,2027,100,80/20,Ibn Battuta,Red,137,16.86,1213300,564,6071,6.15
O000035,21-08-2025,OP0085,Crest Grande,Tiger Group,tier2,Mohammed Bin Rashid City,Mohammed Bin Rashid,25.16534,55.30854,apartment,2BR,2,1339,124.4,marina,2024,2027,800,80/20,Etisalat,Green,148,4.93,1491900,1115,11997,5.5
O000036,18-12-2022,OP0190,Crest Grande,Ellington,tier2,Meydan,Meydan,25.1521,55.293,villa,4BR_villa,4,3535,328.4,community,2021,2024,1500,10/90_post_handover,Abu Baker Al Siddique,Red,178,5.35,2203800,623,6711,5.9
O000037,16-10-2024,OP0076,Como Residences,Emaar,tier1,Umm Suqeim,Jumeirah,25.15958,55.20256,villa,4BR_villa,4,3234,300.5,community,2023,2026,200,60/40,Emirates Towers,Red,125,8.35,3747500,1159,12472,6.15
O000038,08-10-2022,OP0165,Aykon City,Sobha,tier1,The Meadows,Emirates Living,25.04572,55.1704,villa,4BR_villa,4,3743,347.8,city,2021,2024,1500,80/20,Ibn Battuta,Red,66,19.83,3614800,966,10394,5.9
O000039,04-02-2023,OP0091,Beachgate,Nakheel,tier1,Jumeirah Park,Emirates Living,25.04807,55.17198,villa,6BR_villa,6,5536,514.4,sea,2025,2028,100,80/20,Al Jafiliya,Red,282,19.53,6596900,1192,12826,5.9
O000040,10-05-2025,OP0118,One at Palm,DAMAC,tier1,Motor City,Motor City,25.0506,55.23157,apartment,studio,0,434,40.3,city,2025,2027,100,60/40,Mall of the Emirates,Red,97,16.86,214200,494,5316,6.15
O000041,24-07-2025,OP0041,Vela Residences,Sobha,tier1,Jumeirah 2,Jumeirah,25.22013,55.24108,apartment,3BR,3,1751,162.7,pool,2023,2024,100,60/40,BurJuman,Red,88,4.21,1842300,1052,11324,5.5
O000042,03-11-2023,OP0188,Damac Bay,Azizi,tier2,Jumeirah Village Circle,JVC,25.05629,55.22385,apartment,studio,0,406,37.7,marina,2024,2028,400,80/20,Discovery Gardens,Red,105,16.47,163100,402,4323,6.9
O000043,06-07-2021,OP0086,Vida Residences,Aldar,tier1,Jumeirah 3,Jumeirah,25.19732,55.24134,apartment,2BR,2,1527,141.9,city,2024,2025,1500,50/50_post_handover,Palm Deira,Green,111,3.33,954600,625,6728,1.9
O000044,26-01-2023,OP0086,Vida Residences,Aldar,tier1,Jumeirah 3,Jumeirah,25.19732,55.24134,apartment,1BR,1,769,71.5,sea,2024,2025,1500,70/30,Burj Khalifa/Dubai Mall,Red,40,3.33,870900,1132,12184,5.9
O000045,18-02-2022,OP0130,Marina Vista,Dubai Properties,tier1,Liwan,Dubailand,25.06191,55.32871,apartment,2BR,2,1307,121.5,community,2022,2027,400,80/20,World Trade Centre,Red,224,16.01,306000,234,2519,1.9
O000046,01-06-2023,OP0193,Creek Vistas,Ellington,tier2,Jumeirah Golf Estates,JGE,25.02257,55.18983,villa,5BR_villa,5,4014,372.9,marina,2022,2027,800,10/90_post_handover,Dubai Investment Park,Red,52,21.2,3669100,914,9840,5.9
O000047,23-03-2023,OP0123,One at Palm,Danube,tier2,Jumeirah Village Triangle,JVT,25.04438,55.19034,apartment,3BR,3,1182,109.8,community,2025,2028,100,50/50_post_handover,Al Furjan,Red,58,18.98,443800,376,4042,5.9
O000048,09-08-2021,OP0194,Seaside,Emaar,tier1,Bluewaters Island,Dubai Marina,25.07266,55.13589,apartment,2BR,2,982,91.2,city,2024,2026,800,60/40,Dubai Internet City,Red,67,19.65,790400,805,8662,1.9
O000049,12-02-2021,OP0144,Six Senses,Ellington,tier2,Al Reem,Arabian Ranches,25.04026,55.25569,villa,3BR_villa,3,2333,216.7,park,2025,2027,1500,10/90_post_handover,Union,Red,316,17.55,841200,361,3881,1.9
O000050,02-04-2022,OP0041,Vela Residences,Sobha,tier1,Jumeirah 2,Jumeirah,25.22013,55.24108,apartment,2BR,2,1465,136.1,burj_khalifa,2023,2024,100,80/20,Oud Metha,Green,89,4.21,1769000,1208,13000,2.9
O000051,01-11-2024,OP0033,Beachgate,Meraas,tier1,Arabian Ranches 2,Arabian Ranches,25.05444,55.28876,villa,5BR_villa,5,5969,554.6,golf_course,2022,2027,800,60/40,Oud Metha,Green,247,15.94,6372000,1067,11490,6.15
O000052,03-12-2025,OP0150,Bulgari Lighthouse,Binghatti,tier2,Al Furjan,Al Furjan,25.03031,55.15208,apartment,2BR,2,1300,120.8,marina,2023,2028,800,70/30,Al Furjan,Red,6,22.27,625300,481,5177,5.5
O000053,12-06-2021,OP0104,Address Residences,Deyaar,tier2,Maritime City,Maritime City,25.26425,55.2666,apartment,3BR,3,1734,161.1,park,2022,2028,400,10/90_post_handover,BurJuman,Red,46,7.5,739500,427,4591,1.9
O000054,11-02-2026,OP0001,Aykon City,Sobha,tier1,Mira,Reem,25.04817,55.28314,villa,5BR_villa,5,4429,411.4,city,2023,2026,800,70/30,Sharaf DG,Red,144,16.59,2588500,584,6291,5.5
O000055,22-02-2021,OP0121,Hartland Greens,DAMAC,tier1,Motor City,Motor City,25.04796,55.2158,apartment,studio,0,629,58.5,burj_khalifa,2024,2024,200,70/30,Al Nahda (G),Green,382,17.61,203800,324,3487,1.9
O000056,20-08-2023,OP0165,Aykon City,Sobha,tier1,The Meadows,Emirates Living,25.04572,55.1704,villa,6BR_villa,6,6302,585.5,burj_khalifa,2021,2024,1500,50/50_post_handover,Jumeirah Golf Estates,Red,32,19.83,8634500,1370,14748,6.9
O000057,25-01-2023,OP0071,Cavalli Tower,Danube,tier2,Dubai Production City,IMPZ,25.03263,55.23328,apartment,1BR,1,748,69.5,pool,2023,2027,200,50/50_post_handover,Dubai Investment Park,Red,96,18.76,201900,270,2905,5.9
O000058,12-10-2024,OP0037,Vela Residences,Aldar,tier1,Umm Suqeim,Jumeirah,25.15588,55.20954,villa,4BR_villa,4,3897,362.1,marina,2023,2025,200,80/20,Business Bay,Red,84,7.98,5832700,1497,16110,6.15
O000059,25-06-2025,OP0031,Six Senses,Sobha,tier1,Al Furjan,Al Furjan,25.03166,55.15372,apartment,1BR,1,761,70.7,park,2022,2027,100,50/50_post_handover,Discovery Gardens,Red,27,22.06,336200,442,4755,6.15
O000060,11-09-2023,OP0109,Burj Binghatti,Dubai Properties,tier1,Green Community,DIP,25.0047,55.16951,villa,4BR_villa,4,3150,292.6,city,2023,2027,400,60/40,Sharaf DG,Red,140,23.87,2078500,660,7103,6.9
O000061,05-05-2021,OP0028,One at Palm,Nakheel,tier1,Arabian Ranches 2,Arabian Ranches,25.0482,55.27553,villa,3BR_villa,3,3102,288.2,community,2022,2027,200,60/40,Ibn Battuta,Red,192,16.57,1535700,495,5329,1.9
O000062,19-11-2024,OP0007,Six Senses,Ellington,tier2,Dubai Marina,Dubai Marina,25.0801,55.1365,apartment,2BR,2,1112,103.3,sea,2022,2026,800,70/30,Al Furjan,Red,69,19.03,1167200,1049,11296,6.15
O000063,26-11-2021,OP0183,Seaside,Select Group,tier2,Bukadra,Bukadra,25.17647,55.34308,villa,4BR_villa,4,4615,428.8,community,2025,2025,200,50/50_post_handover,Creek,Green,68,7.29,1788200,387,4170,1.9
O000064,13-09-2025,OP0044,Volta,Sobha,tier1,Arabian Ranches 2,Arabian Ranches,25.04518,55.2574,villa,4BR_villa,4,3179,295.3,burj_khalifa,2024,2026,1500,10/90_post_handover,Al Nahda,Red,360,16.99,4131400,1300,13991,5.5
O000065,06-10-2021,OP0198,Hartland Greens,Meraas,tier1,Dubai Marina,Dubai Marina,25.08691,55.14736,apartment,studio,0,430,39.9,marina,2021,2025,100,60/40,Dubai Internet City,Red,40,17.72,283600,660,7105,1.9
O000066,10-08-2021,OP0081,Damac Bay,Select Group,tier2,Jumeirah Village Circle,JVC,25.05793,55.21447,apartment,2BR,2,1129,104.9,community,2022,2026,400,10/90_post_handover,Jumeirah Golf Estates,Red,71,16.62,271400,240,2587,1.9
O000067,25-05-2023,OP0019,Vela Residences,Binghatti,tier2,Al Reem,Arabian Ranches,25.04823,55.26444,villa,3BR_villa,3,1944,180.6,park,2022,2026,100,10/90_post_handover,Mall of the Emirates,Red,127,16.6,1117400,575,6188,5.9
O000068,02-04-2024,OP0130,Marina Vista,Dubai Properties,tier1,Liwan,Dubailand,25.06191,55.32871,apartment,4BR_penthouse,4,3098,287.8,marina,2022,2027,400,60/40,Al Qusais,Green,306,16.01,1413500,456,4911,6.9
O000069,04-07-2024,OP0134,Seaside,MAG,tier2,Dubai Investment Park,DIP,24.99077,55.18849,apartment,3BR,3,1986,184.5,community,2022,2025,1500,50/50_post_handover,Jebel Ali,Red,75,24.53,629200,317,3410,6.15
O000070,06-09-2021,OP0024,Marina Vista,Omniyat,tier1,The Valley,Dubai-Al Ain Road,24.96651,55.47671,villa,3BR_villa,3,2720,252.7,city,2023,2024,400,60/40,Jebel Ali,Red,422,32.76,750300,276,2969,1.9
O000071,28-09-2024,OP0099,Vela Residences,Ellington,tier2,Dubai Studio City,Dubai Studio City,25.0463,55.22941,apartment,3BR,3,2557,237.6,city,2025,2027,800,50/50_post_handover,Abu Hail,Red,344,17.38,835000,327,3515,6.15
O000072,08-08-2024,OP0117,Marasi Riverside,Binghatti,tier2,City Walk,Al Wasl,25.21423,55.27333,villa,5BR_villa,5,4621,429.3,park,2023,2025,400,60/40,Noor Bank,Red,137,1.9,5739200,1242,13370,6.15
O000073,18-06-2025,OP0161,Safa Towers,DAMAC,tier1,Jumeirah 1,Jumeirah,25.22704,55.25408,apartment,1BR,1,704,65.4,golf_course,2025,2025,100,80/20,Emirates Towers,Red,44,3.9,807800,1148,12359,6.15
O000074,27-08-2022,OP0079,Aykon City,DAMAC,tier1,Dubai Harbour,Dubai Marina,25.10118,55.14323,apartment,2BR,2,1278,118.7,marina,2022,2026,200,60/40,Discovery Gardens,Red,80,16.98,1581900,1238,13328,2.9
O000075,04-07-2024,OP0162,Lagoon,Aldar,tier1,Green Community,DIP,25.01405,55.16934,villa,5BR_villa,5,5616,521.7,park,2021,2027,800,70/30,Jumeirah Golf Estates,Red,18,22.95,2920900,520,5598,6.15
O000076,21-11-2021,OP0057,Hartland Greens,Dubai Properties,tier1,Motor City,Motor City,25.04604,55.22656,apartment,1BR,1,817,75.9,park,2022,2024,100,70/30,Union,Red,319,17.48,249500,305,3287,1.9
O000077,03-03-2025,OP0010,Bayview,DAMAC,tier1,DAMAC Lagoons,Damac,25.05664,55.2478,villa,3BR_villa,3,2986,277.4,pool,2022,2027,400,60/40,Abu Baker Al Siddique,Red,320,15.86,1863300,624,6716,6.15
O000078,23-03-2025,OP0155,Six Senses,Nakheel,tier1,Motor City,Motor City,25.05555,55.23457,apartment,1BR,1,661,61.4,marina,2024,2027,100,80/20,Stadium,Red,357,16.25,293600,444,4782,6.15
O000079,28-04-2023,OP0161,Safa Towers,DAMAC,tier1,Jumeirah 1,Jumeirah,25.22704,55.25408,villa,5BR_villa,5,5505,511.4,pool,2025,2025,100,70/30,BurJuman,Red,69,3.9,5787300,1051,11317,5.9
O000080,14-04-2025,OP0152,Cavalli Tower,Danube,tier2,Mudon,Dubailand,25.04529,55.24163,villa,3BR_villa,3,3337,310,park,2024,2028,100,80/20,Al Nahda,Red,370,17.21,1638300,491,5284,6.15
O000081,13-08-2021,OP0198,Hartland Greens,Meraas,tier1,Dubai Marina,Dubai Marina,25.08691,55.14736,apartment,studio,0,350,32.5,pool,2021,2025,100,10/90_post_handover,Mashreq Bank,Red,36,17.72,179500,513,5525,1.9
O000082,28-09-2024,OP0091,Beachgate,Nakheel,tier1,Jumeirah Park,Emirates Living,25.04807,55.17198,villa,4BR_villa,4,4176,388,park,2025,2028,100,60/40,Danube,Red,73,19.53,4092700,980,10549,6.15
O000083,01-05-2024,OP0119,Six Senses,Select Group,tier2,Majan,Dubailand,25.06138,55.27458,apartment,1BR,1,755,70.1,community,2023,2026,800,80/20,Al Qiyadah,Red,324,15.1,242100,321,3453,6.9
O000084,21-02-2022,OP0143,Marasi Riverside,Binghatti,tier2,Jumeirah Lake Towers,JLT,25.06138,55.13942,apartment,2BR,2,945,87.8,community,2022,2026,1500,80/20,Mall of the Emirates,Red,113,20.32,284700,301,3242,1.9
O000085,20-05-2025,OP0142,Grande,Dubai Properties,tier1,Living Legends,Dubailand,25.08629,55.30363,villa,5BR_villa,5,4593,426.7,marina,2025,2025,800,50/50_post_handover,Ibn Battuta,Red,232,12.68,3037900,661,7119,6.15
O000086,26-03-2021,OP0178,Forte,Tiger Group,tier2,Maritime City,Maritime City,25.26851,55.24195,apartment,2BR,2,1428,132.7,burj_khalifa,2024,2024,100,70/30,World Trade Centre,Red,82,8.58,614800,430,4633,1.9
O000087,01-10-2023,OP0178,Forte,Tiger Group,tier2,Maritime City,Maritime City,25.26851,55.24195,apartment,3BR,3,2074,192.7,burj_khalifa,2024,2024,100,10/90_post_handover,BurJuman,Red,80,8.58,1854100,894,9623,6.9
O000088,23-03-2022,OP0060,Bulgari Lighthouse,Azizi,tier2,Maritime City,Maritime City,25.26086,55.26233,apartment,1BR,1,742,69,pool,2024,2027,1500,80/20,BurJuman (G),Green,51,7.18,344600,464,4996,1.9
O000089,06-10-2021,OP0085,Crest Grande,Tiger Group,tier2,Mohammed Bin Rashid City,Mohammed Bin Rashid,25.16534,55.30854,apartment,1BR,1,629,58.5,park,2024,2027,800,60/40,ADCB,Red,128,4.93,319200,507,5460,1.9
O000090,10-03-2021,OP0033,Beachgate,Meraas,tier1,Arabian Ranches 2,Arabian Ranches,25.05444,55.28876,villa,5BR_villa,5,5929,550.8,park,2022,2027,800,60/40,MRT-1,Red,189,15.94,3467800,585,6296,1.9
O000091,21-08-2022,OP0191,Forte,Azizi,tier2,The Valley,Dubai-Al Ain Road,24.96717,55.50704,villa,4BR_villa,4,4521,420,sea,2023,2026,800,70/30,Stadium (G),Green,469,34.69,1722500,381,4101,2.9
O000092,16-12-2025,OP0173,Aykon City,Dubai Properties,tier1,Damac Hills,Damac Hills,25.03501,55.2714,villa,3BR_villa,3,2675,248.5,burj_khalifa,2024,2026,400,70/30,Jebel Ali,Red,174,18.04,1924300,719,7744,5.5
O000093,02-07-2022,OP0153,Vela Residences,Tiger Group,tier2,The Lakes,Emirates Living,25.05548,55.19167,villa,6BR_villa,6,7016,651.8,community,2023,2026,800,70/30,Jumeirah Golf Estates,Red,53,17.82,5139500,733,7885,2.9
O000094,05-08-2024,OP0186,Sobha Reserve,MAG,tier2,The Views,The Greens,25.10979,55.17636,apartment,2BR,2,1170,108.7,sea,2022,2028,400,50/50_post_handover,Sharaf DG,Red,21,13.85,862800,737,7938,6.15
O000095,06-10-2022,OP0079,Aykon City,DAMAC,tier1,Dubai Harbour,Dubai Marina,25.10118,55.14323,apartment,3BR,3,1890,175.6,city,2022,2026,200,80/20,Dubai Internet City,Red,39,16.98,2317200,1226,13194,5.9
O000096,08-03-2022,OP0188,Damac Bay,Azizi,tier2,Jumeirah Village Circle,JVC,25.05629,55.22385,apartment,2BR,2,1160,107.8,sea,2024,2028,400,70/30,Ibn Battuta,Red,133,16.47,382100,329,3545,1.9
O000097,15-03-2025,OP0033,Beachgate,Meraas,tier1,Arabian Ranches 2,Arabian Ranches,25.05444,55.28876,villa,4BR_villa,4,3599,334.3,community,2022,2027,800,70/30,Discovery Gardens,Red,180,15.94,3434300,954,10273,6.15
O000098,01-04-2026,OP0076,Como Residences,Emaar,tier1,Umm Suqeim,Jumeirah,25.15958,55.20256,villa,4BR_villa,4,3634,337.6,city,2023,2026,200,10/90_post_handover,Noor Bank,Red,54,8.35,4752500,1308,14076,5.5
O000099,11-08-2023,OP0007,Six Senses,Ellington,tier2,Dubai Marina,Dubai Marina,25.0801,55.1365,apartment,studio,0,512,47.6,burj_khalifa,2022,2026,800,10/90_post_handover,Stadium (G),Green,398,19.03,518200,1012,10891,6.9
O000100,26-04-2021,OP0081,Damac Bay,Select Group,tier2,Jumeirah Village Circle,JVC,25.05793,55.21447,apartment,studio,0,402,37.3,sea,2022,2026,400,10/90_post_handover,Sharaf DG,Red,75,16.62,123800,308,3317,1.9
O000101,28-05-2023,OP0009,Vida Residences,Azizi,tier2,Business Bay,Business Bay,25.18726,55.25993,apartment,studio,0,398,37,marina,2024,2028,200,70/30,Al Jadaf,Green,102,1.83,299800,753,8110,5.9
O000102,15-01-2025,OP0194,Seaside,Emaar,tier1,Bluewaters Island,Dubai Marina,25.07266,55.13589,apartment,4BR_penthouse,4,4040,375.3,pool,2024,2026,800,80/20,First Abu Dhabi Bank,Red,148,19.65,6180600,1530,16467,6.15
O000103,05-06-2021,OP0151,Vela Residences,Azizi,tier2,Emirates Hills,Emirates Hills,25.04858,55.14849,villa,5BR_villa,5,4971,461.8,city,2021,2026,1500,10/90_post_handover,UAE Pavilion,Red,37,20.83,4825500,971,10449,1.9
O000104,25-08-2022,OP0109,Burj Binghatti,Dubai Properties,tier1,Green Community,DIP,25.0047,55.16951,villa,4BR_villa,4,4277,397.3,park,2023,2027,400,10/90_post_handover,Al Furjan,Red,41,23.87,1747500,409,4398,2.9
O000105,10-02-2024,OP0013,Burj Binghatti,Emaar,tier1,Jumeirah Islands,Emirates Living,25.04746,55.15715,villa,4BR_villa,4,4447,413.2,marina,2021,2027,800,50/50_post_handover,Dubai Internet City,Red,79,20.41,5434900,1222,13154,6.9
O000106,29-05-2021,OP0068,Grande,DAMAC,tier1,DIFC,DIFC,25.21464,55.28107,apartment,3BR,3,1911,177.5,park,2022,2027,400,70/30,Al Karama,Red,63,2.05,1668000,873,9395,1.9
O000107,06-04-2023,OP0024,Marina Vista,Omniyat,tier1,The Valley,Dubai-Al Ain Road,24.96651,55.47671,villa,4BR_villa,4,4091,380,marina,2023,2024,400,70/30,Dubai Internet City,Red,407,32.76,1907000,466,5018,5.9
O000108,27-07-2023,OP0099,Vela Residences,Ellington,tier2,Dubai Studio City,Dubai Studio City,25.0463,55.22941,apartment,1BR,1,391,36.3,park,2025,2027,800,70/30,First Abu Dhabi Bank,Red,123,17.38,132200,338,3640,6.9
O000109,07-05-2021,OP0122,Safa Towers,MAG,tier2,Jumeirah Village Circle,JVC,25.05555,55.201,apartment,3BR,3,1349,125.3,community,2022,2026,400,70/30,Energy,Red,170,17.4,315400,234,2516,1.9
O000110,28-11-2024,OP0165,Aykon City,Sobha,tier1,The Meadows,Emirates Living,25.04572,55.1704,villa,6BR_villa,6,7862,730.4,sea,2021,2024,1500,50/50_post_handover,Discovery Gardens,Red,40,19.83,8984100,1143,12299,6.15
O000111,19-06-2023,OP0076,Como Residences,Emaar,tier1,Umm Suqeim,Jumeirah,25.15958,55.20256,villa,4BR_villa,4,2202,204.6,city,2023,2026,200,80/20,Baniyas Square,Red,192,8.35,2793100,1268,13653,5.9
O000112,23-12-2021,OP0200,Marina Vista,MAG,tier2,Living Legends,Dubailand,25.07413,55.29691,apartment,2BR,2,1177,109.4,park,2025,2025,1500,70/30,Al Qusais,Green,296,13.87,362300,308,3312,1.9
